timestamp,actor,category,description
2026-02-09T12:37:41.620968+00:00,Homeowner,Moisture Probes,"Gophr 2ac860 (FluxOpenHome Gophr) — Added zones: switch.irrigation_ctrl_v2_793a8c_zone_10, switch.irrigation_ctrl_v2_793a8c_zone_5"
2026-02-09T12:33:57.309015+00:00,Homeowner,Moisture Probes,"Gophr 2ac860 (FluxOpenHome Gophr) — Removed zones: switch.irrigation_ctrl_v2_793a8c_zone_10, switch.irrigation_ctrl_v2_793a8c_zone_5"
2026-02-09T12:31:55.663770+00:00,Homeowner,Moisture Probes,"Gophr 2ac860 (FluxOpenHome Gophr) — Added zones: switch.irrigation_ctrl_v2_793a8c_zone_10, switch.irrigation_ctrl_v2_793a8c_zone_5"
2026-02-09T12:27:48.825676+00:00,Homeowner,Moisture Probes,"Gophr 2ac860 (FluxOpenHome Gophr) — Removed zones: switch.irrigation_ctrl_v2_793a8c_zone_10, switch.irrigation_ctrl_v2_793a8c_zone_5"
2026-02-09T12:27:35.671114+00:00,Homeowner,Moisture Probes,Gophr 2ac860 (FluxOpenHome Gophr) — Added zones: switch.irrigation_ctrl_v2_793a8c_zone_10
2026-02-09T12:22:11.548550+00:00,Management,Schedule,Set 793A8C Zone 15 Duration: 1.0 -> 2
2026-02-09T12:22:05.779823+00:00,Management,Schedule,Set 793A8C Zone 14 Duration: 1.0 -> 2
2026-02-09T12:22:03.228928+00:00,Management,Schedule,Set 793A8C Zone 11 Duration: 1.0 -> 2
2026-02-09T12:21:59.443390+00:00,Management,Schedule,Set 793A8C Zone 13 Duration: 1.0 -> 2
2026-02-09T12:21:52.762897+00:00,Management,Schedule,Set 793A8C Zone 12 Duration: 1.0 -> 2
2026-02-09T12:21:19.932137+00:00,Homeowner,Schedule,Set 793A8C Zone 10 Duration: 1.0 -> 2
2026-02-09T12:21:13.362317+00:00,Homeowner,Schedule,Set 793A8C Zone 10 Duration: 1.0 -> 1
2026-02-09T12:21:09.942935+00:00,Homeowner,Schedule,Set 793A8C Zone 9 Duration: 1.0 -> 2
2026-02-09T12:21:01.873025+00:00,Homeowner,Schedule,Set 793A8C Zone 6 Duration: 1.0 -> 2
2026-02-09T12:20:54.244386+00:00,Homeowner,Schedule,Set 793A8C Zone 5 Duration: 1.0 -> 2
2026-02-09T12:20:52.020736+00:00,Homeowner,Schedule,Set 793A8C Zone 4 Duration: 1.0 -> 2
2026-02-09T12:20:46.574051+00:00,Homeowner,Schedule,Set 793A8C Zone 2 Duration: 1.0 -> 2
2026-02-09T12:20:39.781306+00:00,Homeowner,Schedule,Set 793A8C Zone 3 Duration: 2.0 -> 2
2026-02-09T12:20:36.992433+00:00,Homeowner,Schedule,Set 793A8C Zone 2 Duration: 1.0 -> 1
2026-02-09T12:20:34.699339+00:00,Homeowner,Schedule,Set 793A8C Zone 1 Duration: 1.0 -> 2
2026-02-09T12:17:56.465081+00:00,Homeowner,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-09T12:17:06.353158+00:00,Homeowner,Moisture Probes,Gophr 2ac860 (FluxOpenHome Gophr) — Added zones: switch.irrigation_ctrl_v2_793a8c_zone_5
2026-02-09T12:16:10.868664+00:00,Homeowner,Moisture Probes,Sleep disabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-09T12:08:01.644156+00:00,Homeowner,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 1.0 min (pending wake)
2026-02-09T12:01:43.041102+00:00,Management,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 5.0 min (pending wake)
2026-02-09T11:59:22.768754+00:00,Management,Moisture Probes,Set sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 5.0 min (applied immediately)
2026-02-09T11:51:33.752678+00:00,Homeowner,Moisture Probes,Gophr 2ac860 (FluxOpenHome Gophr) — entity update (no changes)
2026-02-09T11:38:11.312899+00:00,Homeowner,Moisture Probes,Sleep Now pressed for Gophr 2ac860 (FluxOpenHome Gophr)
2026-02-09T11:38:07.550100+00:00,Homeowner,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-09T11:37:20.577771+00:00,Homeowner,Moisture Probes,Set sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 1.0 min (applied immediately)
2026-02-09T11:36:41.677386+00:00,Homeowner,Moisture Probes,Gophr 2ac860 (FluxOpenHome Gophr) — entity update (no changes)
2026-02-09T11:34:11.191841+00:00,Homeowner,Moisture Probes,Sleep disabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-09T11:34:09.055033+00:00,Homeowner,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-09T11:30:15.980608+00:00,Homeowner,Moisture Probes,"Gophr 2ac860 (FluxOpenHome Gophr) — Added zones: switch.irrigation_ctrl_v2_793a8c_zone_3, switch.irrigation_ctrl_v2_793a8c_zone_7"
2026-02-09T11:25:38.018741+00:00,Homeowner,Moisture Probes,Added probe: Gophr 2ac860 (FluxOpenHome Gophr)
2026-02-09T11:24:50.863272+00:00,Homeowner,Moisture Probes,Removed probe: Gophr 2ac860 (FluxOpenHome Gophr)
2026-02-09T11:23:32.467461+00:00,Homeowner,Moisture Probes,Added probe: Gophr 2ac860 (FluxOpenHome Gophr)
2026-02-09T11:22:23.352457+00:00,Homeowner,Moisture Probes,Removed probe: Gophr 2ac860 (FluxOpenHome Gophr)
2026-02-09T11:22:19.512329+00:00,Homeowner,Moisture Probes,Gophr 2ac860 (FluxOpenHome Gophr) — entity update (no changes)
2026-02-09T11:21:53.594596+00:00,Homeowner,Moisture Probes,Added probe: Gophr 2ac860 (FluxOpenHome Gophr)
2026-02-09T11:20:04.549340+00:00,Homeowner,Moisture Probes,Removed probe: Gophr 2ac860 (FluxOpenHome Gophr)
2026-02-09T11:09:11.550866+00:00,Homeowner,Moisture Probes,Added probe: Gophr 2ac860 (FluxOpenHome Gophr)
2026-02-09T10:59:07.707680+00:00,Homeowner,Moisture Probes,Removed probe: Gophr 2ac860 (FluxOpenHome Gophr)
2026-02-09T10:58:26.173142+00:00,Homeowner,Moisture Probes,Added probe: Gophr 2ac860 (FluxOpenHome Gophr)
